Date,Open,High,Low,Close,Adj Close,Volume
2023-04-17,12.693376,12.927819,12.337126,12.341851,12.341851,165043636
2023-04-18,12.344794,12.761092,12.184141,12.554780,12.554780,142719247
2023-04-19,12.553752,12.578069,11.612221,11.709097,11.709097,217678324
2023-04-20,11.706086,12.118735,11.321254,11.392242,11.392242,175574801
2023-04-21,11.390347,11.471804,10.672972,10.803689,10.803689,161054459
2023-04-22,10.803393,11.051529,10.714957,11.041814,11.041814,104030793
2023-04-23,11.042057,11.043577,10.620855,10.827010,10.827010,90444450
2023-04-24,10.826501,10.970345,10.670869,10.885918,10.885918,103850643
2023-04-25,10.885095,11.082119,10.668734,11.053880,11.053880,101114259
2023-04-26,11.053280,11.378751,10.317157,10.924459,10.924459,165482473
2023-04-27,10.927217,11.767528,10.917083,11.527786,11.527786,179502043
2023-04-28,11.528126,11.761511,11.338282,11.719166,11.719166,108497752
2023-04-29,11.718674,11.806385,11.591142,11.719993,11.719993,69581001
2023-04-30,11.719555,11.940540,11.480535,11.573060,11.573060,85583856
2023-05-01,11.567372,11.567372,10.859140,11.008300,11.008300,110399167
2023-05-02,11.009166,11.107761,10.917762,11.040736,11.040736,67879049
2023-05-03,11.040424,11.155677,10.774457,11.100059,11.100059,86165715
2023-05-04,11.101772,11.136809,10.904196,10.981951,10.981951,65603363
2023-05-05,10.982531,11.295692,10.970164,11.231049,11.231049,74867495
2023-05-06,11.231379,11.288823,10.797958,10.859297,10.859297,67987068
2023-05-07,10.858797,11.089324,10.805702,11.005036,11.005036,57201995
2023-05-08,11.003340,11.145087,10.507933,10.617471,10.617471,161012606
2023-05-09,10.617898,10.698844,10.307876,10.396069,10.396069,102241826
2023-05-10,10.395691,11.115742,10.251913,10.997883,10.997883,167015561
2023-05-11,10.998526,11.074785,10.552597,11.046224,11.046224,130487205
2023-05-12,11.045849,11.271727,10.805101,11.164373,11.164373,141247048
2023-05-13,11.164372,11.164372,10.846383,10.895848,10.895848,79222754
2023-05-14,10.895452,11.102327,10.840480,10.915788,10.915788,86367472
2023-05-15,10.915596,11.095851,10.762390,10.805232,10.805232,81286208
2023-05-16,10.805357,10.903966,10.721022,10.882347,10.882347,73613379
2023-05-17,10.881949,11.068856,10.733753,10.935615,10.935615,73444406
2023-05-18,10.935664,10.993993,10.528922,10.751800,10.751800,93025278
2023-05-19,10.750146,10.750146,10.489008,10.609885,10.609885,81609177
2023-05-20,10.609887,10.630871,10.533869,10.614003,10.614003,48226216
2023-05-21,10.613823,10.617460,10.433662,10.477791,10.477791,51003478
2023-05-22,10.477922,10.566381,10.347295,10.487076,10.487076,56961894
2023-05-23,10.487243,10.615191,10.457871,10.524550,10.524550,66970119
2023-05-24,10.525102,10.528431,10.223323,10.418464,10.418464,76384222
2023-05-25,10.417577,10.547814,10.274307,10.488067,10.488067,71039888
2023-05-26,10.487512,10.596532,10.428621,10.534508,10.534508,59448189
2023-05-27,10.534569,10.599327,10.491856,10.546694,10.546694,46062789
2023-05-28,10.546797,10.947409,10.524868,10.937503,10.937503,72103366
2023-05-29,10.937712,10.967027,10.714201,10.756917,10.756917,61867625
2023-05-30,10.756448,10.898831,10.741341,10.840366,10.840366,58865306
2023-05-31,10.840318,10.880656,10.436881,10.464145,10.464145,71414405
2023-06-01,10.464163,10.487638,10.236664,10.327200,10.327200,73309153
2023-06-02,10.328182,10.667345,10.271512,10.656247,10.656247,61982819
2023-06-03,10.656512,10.759796,10.561754,10.701609,10.701609,45921085
2023-06-04,10.701020,10.846863,10.666928,10.751866,10.751866,52388428
2023-06-05,10.752778,10.810398,9.921558,10.017903,10.017903,118272370
2023-06-06,10.017670,10.275258,9.830634,10.159593,10.159593,77186486
2023-06-07,10.159073,10.159073,9.368820,9.428719,9.428719,86725269
2023-06-08,9.429245,9.616292,9.351858,9.444659,9.444659,64444002
2023-06-09,9.444661,9.467232,9.156235,9.171861,9.171861,75697607
2023-06-10,9.172387,9.174088,7.509233,8.244615,8.244615,208938971
2023-06-11,8.244650,8.500633,8.132205,8.444516,8.444516,73995309
2023-06-12,8.444402,8.822020,8.314958,8.754095,8.754095,89457609
2023-06-13,8.753452,8.892895,8.560904,8.644780,8.644780,75321389
2023-06-14,8.644778,8.822512,8.417830,8.482905,8.482905,77723787
2023-06-15,8.482983,8.747890,8.421310,8.663456,8.663456,82903104
2023-06-16,8.663232,8.915600,8.567735,8.755252,8.755252,64814657
2023-06-17,8.755427,8.969921,8.692776,8.903651,8.903651,51812676
2023-06-18,8.903167,8.918860,8.542089,8.559379,8.559379,58481405
2023-06-19,8.559633,8.625630,8.382212,8.591794,8.591794,61643038
2023-06-20,8.591718,8.790574,8.284905,8.781207,8.781207,78730359
